Constituency Name,Winner Party,Winner Votes,Runner Party,Runner Votes,Total Votes Polled,Win Alliance
Ramanathapuram,DMK,111075,BJP,60763,214098,DMK+
Mudhukulathur,DMK,101901,ADMK,81180,221196,DMK+
Vilathikulam,DMK,90348,ADMK,51799,167169,DMK+
Thoothukkudi,DMK,92314,ADMK,42004,188407,DMK+
Tiruchendur,DMK,88274,ADMK,63011,174536,DMK+
Srivaikuntam,INC,76843,ADMK,59471,164386,DMK+
Ottapidaram,DMK,73110,ADMK,64600,177840,DMK+
Kovilpatti,ADMK,68556,AMMKMNKZ,56153,180928,DMK+
Sankarankovil,DMK,71347,ADMK,66050,183338,DMK+
Vasudevanallur,DMK,68730,ADMK,66363,175881,DMK+
Kadayanallur,ADMK,88474,IUML,64125,205374,DMK+
Tenkasi,INC,89315,ADMK,88945,214108,DMK+
Alangulam,ADMK,74153,DMK,70614,203478,DMK+
Tirunelveli,BJP,92282,DMK,69175,197587,ADMK+
Ambasamudram,ADMK,85211,DMK,68296,177681,DMK+
Palayamkottai,DMK,89117,ADMK,36976,161091,DMK+
Nanguneri,INC,75902,ADMK,59416,192522,DMK+
Radhapuram,DMK,82331,ADMK,76406,187310,DMK+
Kanniyakumari,ADMK,109828,DMK,93618,225121,DMK+
Nagercoil,BJP,88804,DMK,77135,184185,ADMK+
Colachal,INC,90681,BJP,65849,182969,DMK+
Padmanabhapuram,DMK,87744,ADMK,60859,170156,DMK+
Vilavancode,INC,87473,BJP,58804,167836,DMK+
Killiyoor,INC,101541,ADMK,46141,169918,DMK+
